key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,fentanylPercentageChange,methamphetaminePercentageChange,cocainePercentageChange,benzoPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,fentanylIsSignificant,methamphetamineIsSignificant,cocaineIsSignificant,benzoIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,fentanylSignificance,methamphetamineSignificance,cocaineSignificance,benzoSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange,jurisdiction_count,comparisonType
NV|2021|7|all|all:NV|2022|7|all|all,4.27,21.04,-33.8,-11.26,suppressed,-5.35,-10.32,-14.17,false,true,false,false,false,false,false,false,No Significant Change,Significant Increase,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2021,7,2022,7,all,all,1,8Year2YearSameMonthNV
NV|2021|8|all|all:NV|2022|8|all|all,11.83,40.68,-11.4,-4.6,suppressed,9.04,-33.46,-42.14,true,true,false,false,false,false,false,true,Significant Increase,Significant Increase,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,Significant Decrease,NV,US-NV,2021,8,2022,8,all,all,1,8Year2YearSameMonthNV
NV|2021|9|all|all:NV|2022|9|all|all,8.5,32.78,-37.35,-16.55,suppressed,-14.62,-19.34,-24.55,false,true,true,false,false,false,false,false,No Significant Change,Significant Increase,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2021,9,2022,9,all,all,1,8Year2YearSameMonthNV
NV|2021|10|all|all:NV|2022|10|all|all,-2.21,17.39,-0.09,-10.49,suppressed,6.85,-25.44,19.8,false,false,false,false,false,false,false,false,No Significant Change,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2021,10,2022,10,all,all,1,8Year2YearSameMonthNV
NV|2021|11|all|all:NV|2022|11|all|all,-6.55,18.85,-29.71,-11.76,suppressed,-3.6,-26.1,-12.58,false,false,false,false,false,false,false,false,No Significant Change,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2021,11,2022,11,all,all,1,8Year2YearSameMonthNV
NV|2021|12|all|all:NV|2022|12|all|all,-2.84,5.86,-46.51,-3.43,suppressed,-6.35,suppressed,-4.49,false,false,true,false,false,false,false,false,No Significant Change,No Significant Change,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2021,12,2022,12,all,all,1,8Year2YearSameMonthNV
NV|2022|1|all|all:NV|2023|1|all|all,18.35,22.49,-21.71,28.03,suppressed,34.73,32.88,-23.69,true,true,false,true,false,true,false,false,Significant Increase,Significant Increase,No Significant Change,Significant Increase,Data Not Available/Not Reported,Significant Increase,No Significant Change,No Significant Change,NV,US-NV,2022,1,2023,1,all,all,1,8Year2YearSameMonthNV
NV|2022|2|all|all:NV|2023|2|all|all,2.02,23.19,suppressed,-8.94,suppressed,-9.6,suppressed,24.84,false,true,false,false,false,false,false,false,No Significant Change,Significant Increase,Data Not Available/Not Reported,No Significant Change,Data Not Available/Not Reported,No Significant Change,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2022,2,2023,2,all,all,1,8Year2YearSameMonthNV
NV|2022|3|all|all:NV|2023|3|all|all,14.56,25.73,12.54,13.45,suppressed,1.72,36.27,34.77,true,true,false,false,false,false,false,false,Significant Increase,Significant Increase,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,No Significant Change,No Significant Change,NV,US-NV,2022,3,2023,3,all,all,1,8Year2YearSameMonthNV
NV|2022|4|all|all:NV|2023|4|all|all,13.2,33.41,suppressed,-19.59,277.47,-25.92,suppressed,-3.62,true,true,false,false,true,true,false,false,Significant Increase,Significant Increase,Data Not Available/Not Reported,No Significant Change,Significant Increase,Significant Decrease,Data Not Available/Not Reported,No Significant Change,NV,US-NV,2022,4,2023,4,all,all,1,8Year2YearSameMonthNV
