Jurisdiction,statename,month,Year,m_name,Age,Sex,Suspected_drug_OD_n,Suspected_opioid_OD_n,Suspected_heroin_OD_n,Suspected_stimulant_OD_n,Total_ED
AK,ALASKA,1,2018,M12018,0-14,F,7,.,.,1,2034
AL,ALABAMA,1,2018,M12018,0-14,F,30,2,.,1,15918
AR,ARKANSAS,1,2018,M12018,0-14,F,26,.,.,.,6626
AZ,ARIZONA,1,2018,M12018,0-14,F,43,2,.,4,9294
CO,COLORADO,1,2018,M12018,0-14,F,16,.,.,.,2810
CT,CONNECTICUT,1,2018,M12018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,1,2018,M12018,0-14,F,9,.,.,.,5180
FL,FLORIDA,1,2018,M12018,0-14,F,185,4,.,6,88364
GA,GEORGIA,1,2018,M12018,0-14,F,97,3,.,3,44445
IL,ILLINOIS,1,2018,M12018,0-14,F,139,.,.,1,42711
IN,INDIANA,1,2018,M12018,0-14,F,82,3,.,1,20816
KS,KANSAS,1,2018,M12018,0-14,F,48,2,.,2,8270
KY,KENTUCKY,1,2018,M12018,0-14,F,37,2,.,.,14225
LA,LOUISIANA,1,2018,M12018,0-14,F,18,1,1,1,11053
MA,MASSACHUSETTS,1,2018,M12018,0-14,F,65,2,.,1,16449
MD,MARYLAND,1,2018,M12018,0-14,F,68,2,.,.,14646
ME,MAINE,1,2018,M12018,0-14,F,12,.,.,.,2833
MI,MICHIGAN,1,2018,M12018,0-14,F,84,1,.,.,28941
MO,MISSOURI,1,2018,M12018,0-14,F,38,1,.,1,25547
MT,MONTANA,1,2018,M12018,0-14,F,19,.,.,.,2143
NC,NORTH CAROLINA,1,2018,M12018,0-14,F,102,3,.,4,34428
NH,NEW HAMPSHIRE,1,2018,M12018,0-14,F,14,1,.,.,6950
NJ,NEW JERSEY,1,2018,M12018,0-14,F,47,2,.,.,28135
NM,NEW MEXICO,1,2018,M12018,0-14,F,28,1,.,.,8009
NV,NEVADA,1,2018,M12018,0-14,F,41,1,.,1,8856
NY,NEW YORK,1,2018,M12018,0-14,F,86,1,.,1,54630
OH,OHIO,1,2018,M12018,0-14,F,137,2,.,2,49365
OR,OREGON,1,2018,M12018,0-14,F,44,.,.,1,9702
PA,PENNSYLVANIA,1,2018,M12018,0-14,F,97,1,.,3,25212
SD,SOUTH DAKOTA,1,2018,M12018,0-14,F,21,.,.,.,2064
TN,TENNESSEE,1,2018,M12018,0-14,F,47,3,.,.,13988
UT,UTAH,1,2018,M12018,0-14,F,30,.,.,1,2984
VA,VIRGINIA,1,2018,M12018,0-14,F,84,1,.,1,21949
VT,VERMONT,1,2018,M12018,0-14,F,8,.,.,.,1388
WA,WASHINGTON,1,2018,M12018,0-14,F,50,1,.,.,7818
WI,WISCONSIN,1,2018,M12018,0-14,F,46,.,.,.,16053
AK,ALASKA,2,2018,M22018,0-14,F,8,.,.,.,2087
AL,ALABAMA,2,2018,M22018,0-14,F,45,.,.,1,13684
AR,ARKANSAS,2,2018,M22018,0-14,F,18,.,.,.,5838
AZ,ARIZONA,2,2018,M22018,0-14,F,35,1,.,2,8211
CO,COLORADO,2,2018,M22018,0-14,F,14,.,.,.,3171
CT,CONNECTICUT,2,2018,M22018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,2,2018,M22018,0-14,F,14,.,.,.,5248
FL,FLORIDA,2,2018,M22018,0-14,F,202,10,1,3,85619
GA,GEORGIA,2,2018,M22018,0-14,F,90,2,.,5,41750
IL,ILLINOIS,2,2018,M22018,0-14,F,158,.,.,1,38026
IN,INDIANA,2,2018,M22018,0-14,F,84,2,.,2,20726
KS,KANSAS,2,2018,M22018,0-14,F,35,.,.,2,7806
KY,KENTUCKY,2,2018,M22018,0-14,F,44,2,.,1,13963
LA,LOUISIANA,2,2018,M22018,0-14,F,21,.,.,1,10793
MA,MASSACHUSETTS,2,2018,M22018,0-14,F,60,3,.,2,17511
MD,MARYLAND,2,2018,M22018,0-14,F,42,1,.,1,13978
ME,MAINE,2,2018,M22018,0-14,F,17,.,.,.,3119
MI,MICHIGAN,2,2018,M22018,0-14,F,50,.,.,1,29197
MO,MISSOURI,2,2018,M22018,0-14,F,42,1,.,1,22643
MT,MONTANA,2,2018,M22018,0-14,F,16,.,.,.,2031
NC,NORTH CAROLINA,2,2018,M22018,0-14,F,97,1,.,3,35142
NH,NEW HAMPSHIRE,2,2018,M22018,0-14,F,9,1,.,.,4003
NJ,NEW JERSEY,2,2018,M22018,0-14,F,43,.,.,.,31584
NM,NEW MEXICO,2,2018,M22018,0-14,F,22,2,.,.,6805
NV,NEVADA,2,2018,M22018,0-14,F,35,.,.,.,9161
NY,NEW YORK,2,2018,M22018,0-14,F,73,1,.,1,57921
OH,OHIO,2,2018,M22018,0-14,F,130,3,.,2,48405
OR,OREGON,2,2018,M22018,0-14,F,59,1,.,.,8700
PA,PENNSYLVANIA,2,2018,M22018,0-14,F,75,1,.,1,25239
SD,SOUTH DAKOTA,2,2018,M22018,0-14,F,17,.,.,.,2086
TN,TENNESSEE,2,2018,M22018,0-14,F,50,3,1,.,15928
UT,UTAH,2,2018,M22018,0-14,F,44,1,.,1,3842
VA,VIRGINIA,2,2018,M22018,0-14,F,73,.,.,.,24903
VT,VERMONT,2,2018,M22018,0-14,F,4,.,.,.,1354
WA,WASHINGTON,2,2018,M22018,0-14,F,54,2,.,.,6492
WI,WISCONSIN,2,2018,M22018,0-14,F,42,.,.,.,14424
AK,ALASKA,3,2018,M32018,0-14,F,9,.,.,.,2326
AL,ALABAMA,3,2018,M32018,0-14,F,41,.,.,.,11697
AR,ARKANSAS,3,2018,M32018,0-14,F,27,.,.,.,4299
AZ,ARIZONA,3,2018,M32018,0-14,F,39,1,.,3,7638
CO,COLORADO,3,2018,M32018,0-14,F,23,1,.,.,4564
CT,CONNECTICUT,3,2018,M32018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,3,2018,M32018,0-14,F,7,.,.,.,4270
FL,FLORIDA,3,2018,M32018,0-14,F,203,5,.,6,76226
GA,GEORGIA,3,2018,M32018,0-14,F,84,2,.,5,31659
IL,ILLINOIS,3,2018,M32018,0-14,F,127,3,1,2,34141
IN,INDIANA,3,2018,M32018,0-14,F,87,.,.,.,17100
KS,KANSAS,3,2018,M32018,0-14,F,27,1,.,3,5980
KY,KENTUCKY,3,2018,M32018,0-14,F,32,.,.,.,11068
LA,LOUISIANA,3,2018,M32018,0-14,F,28,1,.,.,10483
MA,MASSACHUSETTS,3,2018,M32018,0-14,F,66,3,.,4,13250
MD,MARYLAND,3,2018,M32018,0-14,F,56,1,.,.,11508
ME,MAINE,3,2018,M32018,0-14,F,14,2,.,.,2927
MI,MICHIGAN,3,2018,M32018,0-14,F,81,1,.,3,29213
MO,MISSOURI,3,2018,M32018,0-14,F,32,.,.,1,19430
MT,MONTANA,3,2018,M32018,0-14,F,13,.,.,2,2167
NC,NORTH CAROLINA,3,2018,M32018,0-14,F,92,4,.,1,28485
NH,NEW HAMPSHIRE,3,2018,M32018,0-14,F,11,.,.,.,3139
NJ,NEW JERSEY,3,2018,M32018,0-14,F,40,.,.,1,22680
NM,NEW MEXICO,3,2018,M32018,0-14,F,23,1,.,.,4695
NV,NEVADA,3,2018,M32018,0-14,F,24,.,.,.,8433
NY,NEW YORK,3,2018,M32018,0-14,F,103,.,.,1,43680
OH,OHIO,3,2018,M32018,0-14,F,136,3,.,3,44538
OR,OREGON,3,2018,M32018,0-14,F,44,.,.,.,8371
PA,PENNSYLVANIA,3,2018,M32018,0-14,F,85,.,.,4,21771
RI,RHODE ISLAND,3,2018,M32018,0-14,F,15,.,.,.,2509
SD,SOUTH DAKOTA,3,2018,M32018,0-14,F,14,.,.,.,1987
TN,TENNESSEE,3,2018,M32018,0-14,F,52,3,.,3,12822
UT,UTAH,3,2018,M32018,0-14,F,33,.,.,.,3151
VA,VIRGINIA,3,2018,M32018,0-14,F,83,1,.,2,20378
VT,VERMONT,3,2018,M32018,0-14,F,4,.,.,.,1136
WA,WASHINGTON,3,2018,M32018,0-14,F,38,.,.,1,7285
WI,WISCONSIN,3,2018,M32018,0-14,F,43,.,.,.,14012
AK,ALASKA,4,2018,M42018,0-14,F,20,.,.,1,2127
AL,ALABAMA,4,2018,M42018,0-14,F,36,.,.,.,11719
AR,ARKANSAS,4,2018,M42018,0-14,F,25,.,.,.,4250
AZ,ARIZONA,4,2018,M42018,0-14,F,32,2,.,.,7161
CO,COLORADO,4,2018,M42018,0-14,F,26,.,.,1,3873
CT,CONNECTICUT,4,2018,M42018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,4,2018,M42018,0-14,F,14,.,.,.,4154
FL,FLORIDA,4,2018,M42018,0-14,F,212,3,.,6,73342
GA,GEORGIA,4,2018,M42018,0-14,F,87,1,.,1,29547
IL,ILLINOIS,4,2018,M42018,0-14,F,140,5,.,2,31276
IN,INDIANA,4,2018,M42018,0-14,F,63,2,.,2,15599
KS,KANSAS,4,2018,M42018,0-14,F,36,2,.,1,5577
KY,KENTUCKY,4,2018,M42018,0-14,F,25,.,.,.,10929
LA,LOUISIANA,4,2018,M42018,0-14,F,32,1,.,.,10628
MA,MASSACHUSETTS,4,2018,M42018,0-14,F,55,4,.,2,13159
MD,MARYLAND,4,2018,M42018,0-14,F,55,.,.,.,11527
ME,MAINE,4,2018,M42018,0-14,F,11,.,.,.,2863
MI,MICHIGAN,4,2018,M42018,0-14,F,68,1,.,1,24394
MO,MISSOURI,4,2018,M42018,0-14,F,35,.,.,.,17833
MT,MONTANA,4,2018,M42018,0-14,F,15,.,.,.,1913
NC,NORTH CAROLINA,4,2018,M42018,0-14,F,101,2,.,4,26201
NH,NEW HAMPSHIRE,4,2018,M42018,0-14,F,13,.,.,.,3074
NJ,NEW JERSEY,4,2018,M42018,0-14,F,37,.,.,.,21937
NM,NEW MEXICO,4,2018,M42018,0-14,F,26,1,.,1,4473
NV,NEVADA,4,2018,M42018,0-14,F,36,3,.,.,7354
NY,NEW YORK,4,2018,M42018,0-14,F,90,5,.,1,40248
OH,OHIO,4,2018,M42018,0-14,F,147,3,.,4,41390
OR,OREGON,4,2018,M42018,0-14,F,82,2,.,.,7552
PA,PENNSYLVANIA,4,2018,M42018,0-14,F,75,3,.,5,20590
RI,RHODE ISLAND,4,2018,M42018,0-14,F,8,.,.,.,2421
SD,SOUTH DAKOTA,4,2018,M42018,0-14,F,13,.,.,.,1729
TN,TENNESSEE,4,2018,M42018,0-14,F,52,1,.,3,13481
UT,UTAH,4,2018,M42018,0-14,F,50,1,.,2,2902
VA,VIRGINIA,4,2018,M42018,0-14,F,85,.,.,2,18456
VT,VERMONT,4,2018,M42018,0-14,F,4,1,.,.,991
WA,WASHINGTON,4,2018,M42018,0-14,F,33,.,.,.,7388
WI,WISCONSIN,4,2018,M42018,0-14,F,34,1,.,1,11464
AK,ALASKA,5,2018,M52018,0-14,F,9,1,.,1,1872
AL,ALABAMA,5,2018,M52018,0-14,F,42,2,.,.,11844
AR,ARKANSAS,5,2018,M52018,0-14,F,32,.,.,.,4511
AZ,ARIZONA,5,2018,M52018,0-14,F,38,1,.,1,6924
CO,COLORADO,5,2018,M52018,0-14,F,17,.,.,.,3910
CT,CONNECTICUT,5,2018,M52018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,5,2018,M52018,0-14,F,8,.,.,.,4651
FL,FLORIDA,5,2018,M52018,0-14,F,217,2,.,2,70024
GA,GEORGIA,5,2018,M52018,0-14,F,105,3,.,1,30960
IL,ILLINOIS,5,2018,M52018,0-14,F,148,.,.,1,32817
IN,INDIANA,5,2018,M52018,0-14,F,68,2,.,2,16412
KS,KANSAS,5,2018,M52018,0-14,F,33,.,.,.,5788
KY,KENTUCKY,5,2018,M52018,0-14,F,43,2,.,1,12088
LA,LOUISIANA,5,2018,M52018,0-14,F,22,1,.,.,10982
MA,MASSACHUSETTS,5,2018,M52018,0-14,F,56,.,.,3,14444
MD,MARYLAND,5,2018,M52018,0-14,F,68,.,.,1,12318
ME,MAINE,5,2018,M52018,0-14,F,12,.,.,.,3053
MI,MICHIGAN,5,2018,M52018,0-14,F,93,2,.,3,25997
MO,MISSOURI,5,2018,M52018,0-14,F,37,2,.,1,19017
MT,MONTANA,5,2018,M52018,0-14,F,20,2,.,.,1978
NC,NORTH CAROLINA,5,2018,M52018,0-14,F,114,3,1,1,29151
NH,NEW HAMPSHIRE,5,2018,M52018,0-14,F,4,.,.,.,3364
NJ,NEW JERSEY,5,2018,M52018,0-14,F,39,1,.,2,24698
NM,NEW MEXICO,5,2018,M52018,0-14,F,26,.,.,1,4567
NV,NEVADA,5,2018,M52018,0-14,F,33,1,.,2,7414
NY,NEW YORK,5,2018,M52018,0-14,F,108,2,.,.,48325
OH,OHIO,5,2018,M52018,0-14,F,148,2,.,2,42410
OR,OREGON,5,2018,M52018,0-14,F,70,1,.,1,8044
PA,PENNSYLVANIA,5,2018,M52018,0-14,F,84,1,.,2,22068
RI,RHODE ISLAND,5,2018,M52018,0-14,F,7,.,.,.,2596
SD,SOUTH DAKOTA,5,2018,M52018,0-14,F,15,.,.,.,1931
TN,TENNESSEE,5,2018,M52018,0-14,F,65,2,.,3,13619
UT,UTAH,5,2018,M52018,0-14,F,27,.,.,3,2841
VA,VIRGINIA,5,2018,M52018,0-14,F,95,2,.,1,20357
VT,VERMONT,5,2018,M52018,0-14,F,4,.,.,.,1127
WA,WASHINGTON,5,2018,M52018,0-14,F,55,.,.,.,8156
WI,WISCONSIN,5,2018,M52018,0-14,F,33,.,.,1,12847
AK,ALASKA,6,2018,M62018,0-14,F,7,1,.,1,1460
AL,ALABAMA,6,2018,M62018,0-14,F,51,1,.,1,9979
AR,ARKANSAS,6,2018,M62018,0-14,F,18,1,.,.,3929
AZ,ARIZONA,6,2018,M62018,0-14,F,31,3,.,1,5323
CO,COLORADO,6,2018,M62018,0-14,F,10,.,.,.,2887
CT,CONNECTICUT,6,2018,M62018,0-14,F,.,.,.,.,.
DC,DISTRICT OF COLUMBIA,6,2018,M62018,0-14,F,6,.,.,.,3886
FL,FLORIDA,6,2018,M62018,0-14,F,161,8,.,6,57615
GA,GEORGIA,6,2018,M62018,0-14,F,69,4,.,1,24869
IL,ILLINOIS,6,2018,M62018,0-14,F,83,2,.,.,27618
IN,INDIANA,6,2018,M62018,0-14,F,62,1,.,3,13985
KS,KANSAS,6,2018,M62018,0-14,F,32,.,.,1,4920
KY,KENTUCKY,6,2018,M62018,0-14,F,36,.,.,.,9560
LA,LOUISIANA,6,2018,M62018,0-14,F,22,1,.,.,8969
MA,MASSACHUSETTS,6,2018,M62018,0-14,F,44,3,.,2,12817
MD,MARYLAND,6,2018,M62018,0-14,F,51,1,.,2,10905
ME,MAINE,6,2018,M62018,0-14,F,14,.,.,.,2729
MI,MICHIGAN,6,2018,M62018,0-14,F,68,.,.,1,22683
MO,MISSOURI,6,2018,M62018,0-14,F,42,.,.,1,16437
MT,MONTANA,6,2018,M62018,0-14,F,6,.,.,.,1724
NC,NORTH CAROLINA,6,2018,M62018,0-14,F,83,4,.,3,23207
NH,NEW HAMPSHIRE,6,2018,M62018,0-14,F,12,.,.,3,2993
NJ,NEW JERSEY,6,2018,M62018,0-14,F,41,.,.,.,21550
NM,NEW MEXICO,6,2018,M62018,0-14,F,26,.,.,.,3753
NV,NEVADA,6,2018,M62018,0-14,F,39,.,.,2,6063
NY,NEW YORK,6,2018,M62018,0-14,F,101,1,.,.,39670
OH,OHIO,6,2018,M62018,0-14,F,109,2,.,1,35097
OR,OREGON,6,2018,M62018,0-14,F,46,1,.,.,7035
PA,PENNSYLVANIA,6,2018,M62018,0-14,F,57,1,1,1,14967
RI,RHODE ISLAND,6,2018,M62018,0-14,F,4,.,.,.,2226
SD,SOUTH DAKOTA,6,2018,M62018,0-14,F,12,.,.,.,1804
TN,TENNESSEE,6,2018,M62018,0-14,F,55,2,.,2,11773
UT,UTAH,6,2018,M62018,0-14,F,19,2,.,1,1806
VA,VIRGINIA,6,2018,M62018,0-14,F,74,3,.,.,17027
VT,VERMONT,6,2018,M62018,0-14,F,3,.,.,.,964
WA,WASHINGTON,6,2018,M62018,0-14,F,47,.,.,1,7179
WI,WISCONSIN,6,2018,M62018,0-14,F,30,.,.,.,10768
AK,ALASKA,7,2018,M72018,0-14,F,7,.,.,.,1620
AL,ALABAMA,7,2018,M72018,0-14,F,37,.,.,4,10013
AR,ARKANSAS,7,2018,M72018,0-14,F,46,.,.,1,4012
AZ,ARIZONA,7,2018,M72018,0-14,F,32,2,.,1,5266
CO,COLORADO,7,2018,M72018,0-14,F,17,.,.,.,2764
CT,CONNECTICUT,7,2018,M72018,0-14,F,25,1,.,.,7478
DC,DISTRICT OF COLUMBIA,7,2018,M72018,0-14,F,6,.,.,1,3611
FL,FLORIDA,7,2018,M72018,0-14,F,199,5,.,8,58154
GA,GEORGIA,7,2018,M72018,0-14,F,72,.,.,1,25171
IL,ILLINOIS,7,2018,M72018,0-14,F,111,3,1,1,28381
IN,INDIANA,7,2018,M72018,0-14,F,80,.,.,1,14724
KS,KANSAS,7,2018,M72018,0-14,F,21,2,.,.,4937
KY,KENTUCKY,7,2018,M72018,0-14,F,43,1,.,.,9754
LA,LOUISIANA,7,2018,M72018,0-14,F,23,.,.,1,8791
MA,MASSACHUSETTS,7,2018,M72018,0-14,F,54,3,.,.,12944
MD,MARYLAND,7,2018,M72018,0-14,F,36,2,.,1,10402
ME,MAINE,7,2018,M72018,0-14,F,12,2,.,.,3052
MI,MICHIGAN,7,2018,M72018,0-14,F,86,.,.,1,23717
MO,MISSOURI,7,2018,M72018,0-14,F,41,2,.,.,16637
MT,MONTANA,7,2018,M72018,0-14,F,18,.,.,2,1767
NC,NORTH CAROLINA,7,2018,M72018,0-14,F,90,5,.,2,22191
NH,NEW HAMPSHIRE,7,2018,M72018,0-14,F,13,.,.,.,3136
NJ,NEW JERSEY,7,2018,M72018,0-14,F,42,1,.,1,19803
NM,NEW MEXICO,7,2018,M72018,0-14,F,16,1,.,1,3451
NV,NEVADA,7,2018,M72018,0-14,F,32,.,.,.,5461
NY,NEW YORK,7,2018,M72018,0-14,F,82,2,.,1,37844
OH,OHIO,7,2018,M72018,0-14,F,119,3,.,.,36197
OR,OREGON,7,2018,M72018,0-14,F,44,1,.,.,6120
PA,PENNSYLVANIA,7,2018,M72018,0-14,F,69,1,.,.,14056
RI,RHODE ISLAND,7,2018,M72018,0-14,F,13,1,.,.,2281
SD,SOUTH DAKOTA,7,2018,M72018,0-14,F,23,.,.,.,1946
TN,TENNESSEE,7,2018,M72018,0-14,F,64,3,.,1,11527
UT,UTAH,7,2018,M72018,0-14,F,9,.,.,.,1260
VA,VIRGINIA,7,2018,M72018,0-14,F,90,.,.,3,16177
VT,VERMONT,7,2018,M72018,0-14,F,7,.,.,.,1019
WA,WASHINGTON,7,2018,M72018,0-14,F,52,1,.,1,6805
WI,WISCONSIN,7,2018,M72018,0-14,F,42,1,.,1,11261
AK,ALASKA,8,2018,M82018,0-14,F,11,.,.,.,1540
AL,ALABAMA,8,2018,M82018,0-14,F,42,3,.,1,11097
AR,ARKANSAS,8,2018,M82018,0-14,F,29,.,.,.,3999
AZ,ARIZONA,8,2018,M82018,0-14,F,46,1,.,2,6350
CO,COLORADO,8,2018,M82018,0-14,F,24,.,.,.,3395
CT,CONNECTICUT,8,2018,M82018,0-14,F,33,.,.,.,7392
DC,DISTRICT OF COLUMBIA,8,2018,M82018,0-14,F,8,.,.,.,3444
FL,FLORIDA,8,2018,M82018,0-14,F,206,7,.,3,61033
GA,GEORGIA,8,2018,M82018,0-14,F,101,2,.,1,30023
IL,ILLINOIS,8,2018,M82018,0-14,F,105,2,.,1,27647
IN,INDIANA,8,2018,M82018,0-14,F,98,2,.,.,15914
KS,KANSAS,8,2018,M82018,0-14,F,31,.,.,3,4934
KY,KENTUCKY,8,2018,M82018,0-14,F,44,3,.,2,11054
LA,LOUISIANA,8,2018,M82018,0-14,F,23,.,.,.,10163
MA,MASSACHUSETTS,8,2018,M82018,0-14,F,46,1,.,3,11820
MD,MARYLAND,8,2018,M82018,0-14,F,45,2,.,.,9835
ME,MAINE,8,2018,M82018,0-14,F,9,.,.,.,2837
MI,MICHIGAN,8,2018,M82018,0-14,F,82,2,.,1,22484
MO,MISSOURI,8,2018,M82018,0-14,F,38,2,.,1,17087
MT,MONTANA,8,2018,M82018,0-14,F,14,.,.,.,1542
NC,NORTH CAROLINA,8,2018,M82018,0-14,F,92,3,.,.,21357
NH,NEW HAMPSHIRE,8,2018,M82018,0-14,F,9,.,.,.,3007
NJ,NEW JERSEY,8,2018,M82018,0-14,F,40,.,.,.,18854
NM,NEW MEXICO,8,2018,M82018,0-14,F,17,1,.,1,4077
NV,NEVADA,8,2018,M82018,0-14,F,23,1,.,1,6033
NY,NEW YORK,8,2018,M82018,0-14,F,85,4,.,1,35580
OH,OHIO,8,2018,M82018,0-14,F,148,3,1,.,36462
OR,OREGON,8,2018,M82018,0-14,F,60,4,.,3,5788
PA,PENNSYLVANIA,8,2018,M82018,0-14,F,64,4,.,1,14454
RI,RHODE ISLAND,8,2018,M82018,0-14,F,8,.,.,.,2244
SD,SOUTH DAKOTA,8,2018,M82018,0-14,F,15,.,.,.,1685
TN,TENNESSEE,8,2018,M82018,0-14,F,66,1,.,3,12888
UT,UTAH,8,2018,M82018,0-14,F,23,2,.,1,2695
VA,VIRGINIA,8,2018,M82018,0-14,F,95,1,.,1,15660
VT,VERMONT,8,2018,M82018,0-14,F,2,.,.,.,946
WA,WASHINGTON,8,2018,M82018,0-14,F,49,2,.,1,6667
WI,WISCONSIN,8,2018,M82018,0-14,F,35,.,.,.,10692
AK,ALASKA,9,2018,M92018,0-14,F,10,.,.,.,1632
AL,ALABAMA,9,2018,M92018,0-14,F,58,4,.,1,12149
AR,ARKANSAS,9,2018,M92018,0-14,F,24,1,.,.,4340
AZ,ARIZONA,9,2018,M92018,0-14,F,37,3,.,1,6101
CO,COLORADO,9,2018,M92018,0-14,F,20,.,.,.,3457
CT,CONNECTICUT,9,2018,M92018,0-14,F,18,2,.,.,8103
DC,DISTRICT OF COLUMBIA,9,2018,M92018,0-14,F,15,1,.,.,4259
FL,FLORIDA,9,2018,M92018,0-14,F,164,3,.,.,69428
GA,GEORGIA,9,2018,M92018,0-14,F,75,1,.,2,31203
IL,ILLINOIS,9,2018,M92018,0-14,F,131,5,.,.,30157
IN,INDIANA,9,2018,M92018,0-14,F,76,.,.,3,16604
KS,KANSAS,9,2018,M92018,0-14,F,27,1,.,.,5419
KY,KENTUCKY,9,2018,M92018,0-14,F,54,1,.,.,13745
LA,LOUISIANA,9,2018,M92018,0-14,F,27,.,.,.,10801
MA,MASSACHUSETTS,9,2018,M92018,0-14,F,55,.,.,2,13242
MD,MARYLAND,9,2018,M92018,0-14,F,52,1,1,.,10590
ME,MAINE,9,2018,M92018,0-14,F,14,1,.,.,2511
MI,MICHIGAN,9,2018,M92018,0-14,F,57,.,.,.,25209
MO,MISSOURI,9,2018,M92018,0-14,F,42,.,.,.,18610
MT,MONTANA,9,2018,M92018,0-14,F,12,.,.,1,1694
NC,NORTH CAROLINA,9,2018,M92018,0-14,F,132,6,.,2,23556
NH,NEW HAMPSHIRE,9,2018,M92018,0-14,F,15,1,.,.,3274
NJ,NEW JERSEY,9,2018,M92018,0-14,F,24,1,1,.,21308
NM,NEW MEXICO,9,2018,M92018,0-14,F,22,.,.,.,4488
NV,NEVADA,9,2018,M92018,0-14,F,19,1,.,.,6259
NY,NEW YORK,9,2018,M92018,0-14,F,83,2,.,1,39965
OH,OHIO,9,2018,M92018,0-14,F,123,1,.,2,38851
OR,OREGON,9,2018,M92018,0-14,F,52,2,.,1,6527
PA,PENNSYLVANIA,9,2018,M92018,0-14,F,79,2,.,.,16966
RI,RHODE ISLAND,9,2018,M92018,0-14,F,4,.,.,.,2236
SD,SOUTH DAKOTA,9,2018,M92018,0-14,F,13,.,.,.,1876
TN,TENNESSEE,9,2018,M92018,0-14,F,63,2,.,3,13103
UT,UTAH,9,2018,M92018,0-14,F,32,2,.,3,2761
VA,VIRGINIA,9,2018,M92018,0-14,F,69,1,.,2,17733
VT,VERMONT,9,2018,M92018,0-14,F,4,.,.,1,986
WA,WASHINGTON,9,2018,M92018,0-14,F,51,2,.,1,7339
WI,WISCONSIN,9,2018,M92018,0-14,F,48,1,.,.,11237
AK,ALASKA,10,2018,M102018,0-14,F,13,1,.,.,1673
AL,ALABAMA,10,2018,M102018,0-14,F,40,2,.,1,13317
AR,ARKANSAS,10,2018,M102018,0-14,F,30,.,.,.,4595
AZ,ARIZONA,10,2018,M102018,0-14,F,34,3,.,2,6085
CO,COLORADO,10,2018,M102018,0-14,F,15,.,.,.,3350
CT,CONNECTICUT,10,2018,M102018,0-14,F,32,.,.,.,8637
DC,DISTRICT OF COLUMBIA,10,2018,M102018,0-14,F,14,.,.,.,4741
DE,DELAWARE,10,2018,M102018,0-14,F,15,1,.,.,3418
FL,FLORIDA,10,2018,M102018,0-14,F,206,8,.,4,76532
GA,GEORGIA,10,2018,M102018,0-14,F,89,3,.,2,33705
IL,ILLINOIS,10,2018,M102018,0-14,F,115,3,.,.,29209
IN,INDIANA,10,2018,M102018,0-14,F,83,3,.,1,15533
KS,KANSAS,10,2018,M102018,0-14,F,31,.,.,.,5532
KY,KENTUCKY,10,2018,M102018,0-14,F,39,3,.,.,13344
LA,LOUISIANA,10,2018,M102018,0-14,F,25,.,.,.,12037
MA,MASSACHUSETTS,10,2018,M102018,0-14,F,45,2,.,.,13421
MD,MARYLAND,10,2018,M102018,0-14,F,78,3,.,2,12875
ME,MAINE,10,2018,M102018,0-14,F,14,.,.,.,2434
MI,MICHIGAN,10,2018,M102018,0-14,F,76,1,.,1,24127
MO,MISSOURI,10,2018,M102018,0-14,F,41,2,.,.,18686
MT,MONTANA,10,2018,M102018,0-14,F,17,1,.,.,1648
NC,NORTH CAROLINA,10,2018,M102018,0-14,F,120,4,.,3,26475
NH,NEW HAMPSHIRE,10,2018,M102018,0-14,F,11,.,.,.,3097
NJ,NEW JERSEY,10,2018,M102018,0-14,F,53,.,.,1,23110
NM,NEW MEXICO,10,2018,M102018,0-14,F,22,1,.,.,4205
NV,NEVADA,10,2018,M102018,0-14,F,22,3,.,.,6850
NY,NEW YORK,10,2018,M102018,0-14,F,77,.,.,2,44933
OH,OHIO,10,2018,M102018,0-14,F,122,1,.,3,39709
OR,OREGON,10,2018,M102018,0-14,F,56,1,.,2,6428
PA,PENNSYLVANIA,10,2018,M102018,0-14,F,76,.,.,1,18841
RI,RHODE ISLAND,10,2018,M102018,0-14,F,9,.,.,.,2465
SD,SOUTH DAKOTA,10,2018,M102018,0-14,F,19,.,.,.,1594
TN,TENNESSEE,10,2018,M102018,0-14,F,54,.,.,3,12819
UT,UTAH,10,2018,M102018,0-14,F,26,1,.,.,2666
VA,VIRGINIA,10,2018,M102018,0-14,F,87,3,.,1,19451
VT,VERMONT,10,2018,M102018,0-14,F,11,.,.,1,1003
WA,WASHINGTON,10,2018,M102018,0-14,F,58,2,.,1,7617
WI,WISCONSIN,10,2018,M102018,0-14,F,45,.,.,1,10449
AK,ALASKA,11,2018,M112018,0-14,F,13,.,.,.,1716
AL,ALABAMA,11,2018,M112018,0-14,F,59,2,.,2,13470
AR,ARKANSAS,11,2018,M112018,0-14,F,27,.,.,1,4580
AZ,ARIZONA,11,2018,M112018,0-14,F,47,1,.,4,7174
CO,COLORADO,11,2018,M112018,0-14,F,22,.,.,.,3511
CT,CONNECTICUT,11,2018,M112018,0-14,F,24,.,.,.,8165
DC,DISTRICT OF COLUMBIA,11,2018,M112018,0-14,F,10,.,.,.,4595
