key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,state,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
MO|2018|4|all|all:MO|2018|5|all|all,8.57,47.91,47.23,9.25,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,No Significant Change,No Significant Change,MO,US-MO,2018,4,2018,5,all,all
MO|2018|4|all|all:MO|2019|4|all|all,-11.87,3.02,-17.56,74.77,TRUE,FALSE,FALSE,TRUE,Significant Decrease,No Significant Change,No Significant Change,Significant Increase,MO,US-MO,2018,4,2019,4,all,all
MO|2018|5|all|all:MO|2018|6|all|all,5.98,3.66,8.54,38.71,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2018,5,2018,6,all,all
MO|2018|5|all|all:MO|2019|5|all|all,-6.59,-3.99,-30.36,11.06,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2018,5,2019,5,all,all
MO|2018|6|all|all:MO|2018|7|all|all,1.38,-10.8,-13.93,-0.04,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2018,6,2018,7,all,all
MO|2018|6|all|all:MO|2019|6|all|all,-8.93,-3.97,-42.25,5.88,TRUE,FALSE,TRUE,FALSE,Significant Decrease,No Significant Change,Significant Decrease,No Significant Change,MO,US-MO,2018,6,2019,6,all,all
MO|2018|7|all|all:MO|2018|8|all|all,5.13,32.79,22.97,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2018,7,2018,8,all,all
MO|2018|7|all|all:MO|2019|7|all|all,-3.75,21.4,-3.78,-19.58,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,MO,US-MO,2018,7,2019,7,all,all
MO|2018|8|all|all:MO|2018|9|all|all,-14.34,-43.82,-45.84,suppressed,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,Data Not Available/Not Reported,MO,US-MO,2018,8,2018,9,all,all
MO|2018|8|all|all:MO|2019|8|all|all,-0.96,20.21,5.19,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,Data Not Available/Not Reported,MO,US-MO,2018,8,2019,8,all,all
MO|2018|9|all|all:MO|2018|10|all|all,-0.14,51.78,33.07,-9.14,FALSE,TRUE,FALSE,FALSE,No Significant Change,Significant Increase,No Significant Change,No Significant Change,MO,US-MO,2018,9,2018,10,all,all
