key,allPercentageChange,opioidPercentageChange,heroinPercentageChange,stimulantPercentageChange,allIsSignificant,opioidIsSignificant,heroinIsSignificant,stimulantIsSignificant,allSignificance,opioidSignificance,heroinSignificance,stimulantSignificance,jurisdiction,geo,startYear,startMonth,endYear,endMonth,gender,ageRange
US|2018|10|Missing|all:US|2018|11|Missing|all,23.72,26.58,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,10,2018,11,Missing,all
US|2018|11|F|all:US|2018|12|F|all,-7.65,-6.4,-5.02,-10.0,TRUE,TRUE,FALSE,TRUE,Significant Decrease,Significant Decrease,No Significant Change,Significant Decrease,US,US-US,2018,11,2018,12,F,all
US|2018|11|M|all:US|2018|12|M|all,-7.35,-6.15,-7.28,1.66,TRUE,TRUE,TRUE,FALSE,Significant Decrease,Significant Decrease,Significant Decrease,No Significant Change,US,US-US,2018,11,2018,12,M,all
US|2018|11|Missing|all:US|2018|12|Missing|all,-7.03,10.04,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,11,2018,12,Missing,all
US|2018|1|all|0-14:US|2018|2|all|0-14,-5.58,-8.76,suppressed,-3.01,TRUE,FALSE,FALSE,FALSE,Significant Decrease,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,1,2018,2,all,0-14
US|2018|1|all|15-24:US|2018|2|all|15-24,-0.13,-2.87,-1.35,5.58,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,1,2018,2,all,15-24
US|2018|1|all|25-34:US|2018|2|all|25-34,6.14,7.89,3.15,21.85,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,US,US-US,2018,1,2018,2,all,25-34
US|2018|1|all|35-54:US|2018|2|all|35-54,7.05,10.61,11.14,20.56,TRUE,TRUE,TRUE,TRUE,Significant Increase,Significant Increase,Significant Increase,Significant Increase,US,US-US,2018,1,2018,2,all,35-54
US|2018|1|all|55+:US|2018|2|all|55+,2.89,-0.88,0.88,1.64,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,1,2018,2,all,55
US|2018|1|all|Missing:US|2018|2|all|Missing,45.07,101.44,suppressed,suppressed,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,1,2018,2,all,Missing
US|2018|2|all|0-14:US|2018|3|all|0-14,22.55,9.78,suppressed,38.21,TRUE,FALSE,FALSE,TRUE,Significant Increase,No Significant Change,Data Not Available/Not Reported,Significant Increase,US,US-US,2018,2,2018,3,all,0-14
US|2018|2|all|15-24:US|2018|3|all|15-24,7.2,14.05,15.67,15.75,TRUE,TRUE,TRUE,FALSE,Significant Increase,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,2,2018,3,all,15-24
US|2018|2|all|25-34:US|2018|3|all|25-34,4.54,4.9,2.79,6.53,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,US,US-US,2018,2,2018,3,all,25-34
US|2018|2|all|35-54:US|2018|3|all|35-54,5.49,4.75,3.24,13.11,TRUE,TRUE,FALSE,TRUE,Significant Increase,Significant Increase,No Significant Change,Significant Increase,US,US-US,2018,2,2018,3,all,35-54
US|2018|2|all|55+:US|2018|3|all|55+,5.12,6.88,4.62,5.41,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,No Significant Change,No Significant Change,US,US-US,2018,2,2018,3,all,55
US|2018|2|all|Missing:US|2018|3|all|Missing,-14.16,-32.51,suppressed,suppressed,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,2,2018,3,all,Missing
US|2018|3|all|0-14:US|2018|4|all|0-14,7.94,45.81,suppressed,-3.09,TRUE,TRUE,FALSE,FALSE,Significant Increase,Significant Increase,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,3,2018,4,all,0-14
US|2018|3|all|15-24:US|2018|4|all|15-24,1.91,-3.52,-6.28,4.93,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,15-24
US|2018|3|all|25-34:US|2018|4|all|25-34,-1.15,-1.97,-3.72,-2.66,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,25-34
US|2018|3|all|35-54:US|2018|4|all|35-54,-0.68,-0.49,-4.4,-4.66,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,35-54
US|2018|3|all|55+:US|2018|4|all|55+,0.3,1.39,2.99,14.81,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,No Significant Change,No Significant Change,US,US-US,2018,3,2018,4,all,55
US|2018|3|all|Missing:US|2018|4|all|Missing,33.4,21.45,suppressed,suppressed,TRUE,FALSE,FALSE,FALSE,Significant Increase,No Significant Change,Data Not Available/Not Reported,Data Not Available/Not Reported,US,US-US,2018,3,2018,4,all,Missing
US|2018|4|all|0-14:US|2018|5|all|0-14,-0.44,-11.87,suppressed,-2.38,FALSE,FALSE,FALSE,FALSE,No Significant Change,No Significant Change,Data Not Available/Not Reported,No Significant Change,US,US-US,2018,4,2018,5,all,0-14
US|2018|4|all|15-24:US|2018|5|all|15-24,-0.88,8.16,11.59,-8.65,FALSE,TRUE,TRUE,FALSE,No Significant Change,Significant Increase,Significant Increase,No Significant Change,US,US-US,2018,4,2018,5,all,15-24
