geoid,year,month,rate_time,jurisdiction_count,race_ethnicity,drug_rate,drug_pct,opioid_rate,opioid_pct,fentanyl_rate,fentanyl_pct,heroin_rate,heroin_pct,stimulant_rate,stimulant_pct,cocaine_rate,cocaine_pct,methamphetamine_rate,methamphetamine_pct,benzodiazepine_rate,benzodiazepine_pct
US,2024,3,Annual,37,"White, NH",69.9,58.7,22.6,58.4,3.8,61.1,2.3,50.1,3.3,52.7,1.1,38.8,1.4,65.5,1.9,74.3
US,2024,4,Annual,37,"AIAN, NH",93.8,1.2,34.2,1.4,10.1,2.5,1.3,0.4,6.3,1.6,1.1,0.6,4.2,3.1,1,0.6
US,2024,4,Annual,37,"Asian, NH",42.5,1,6.9,0.5,1.3,0.5,0.3,0.2,1.9,0.8,0.7,0.7,0.6,0.8,0.7,0.7
US,2024,4,Annual,37,"Black, NH",62.6,18.4,22.4,20.5,2.5,13.8,4,31.8,4.1,23,2.8,35.3,0.7,11.8,0.6,8.3
US,2024,4,Annual,37,Hispanic,53.1,11,16.4,10.5,3.2,12.5,1.6,8.7,3.2,12.6,1.7,15.3,0.8,9.6,0.9,8.5
US,2024,4,Annual,37,Missing,70.5,6.7,19.7,5.8,3.4,6.2,2.4,6.1,3.4,6.1,1.6,6.5,1,5.3,1.1,5.1
US,2024,4,Annual,37,"Multiple/Other, NH",66.2,2.9,21,2.8,4.1,3.3,2.4,2.8,3.7,3.1,1.5,2.8,1.4,3.5,1.2,2.5
US,2024,4,Annual,37,"NHOPI, NH",47.3,0.2,13.9,0.2,3,0.2,9999,0.1,3,0.2,9999,0.1,1.6,0.4,9999,0.1
US,2024,4,Annual,37,"White, NH",68.8,58.6,22.1,58.3,3.8,60.9,2.2,49.9,3.2,52.6,1.1,38.7,1.4,65.5,1.8,74.2
US,2024,5,Annual,36,"AIAN, NH",94,1.3,34.7,1.4,10.3,2.6,1.1,0.4,6.2,1.6,0.9,0.6,4.2,3.2,1,0.6
US,2024,5,Annual,36,"Asian, NH",41.7,1,6.9,0.5,1.3,0.6,0.3,0.2,1.8,0.8,0.6,0.7,0.6,0.8,0.6,0.7
US,2024,5,Annual,36,"Black, NH",61.6,18.1,21.9,20,2.5,13.8,3.8,32.6,3.9,22.1,2.6,34.3,0.7,11.8,0.6,8.2
US,2024,5,Annual,36,Hispanic,52.4,11.4,16.1,10.9,3.2,12.8,1.4,9.2,3.2,13.4,1.7,16.4,0.8,10,0.8,8.8
US,2024,5,Annual,36,Missing,69.5,6.6,19.4,5.7,3.6,6.2,2.1,5.8,3.2,5.9,1.4,6,1,5.4,1,4.7
US,2024,5,Annual,36,"Multiple/Other, NH",66.6,2.9,21.2,2.9,4.2,3.4,2.4,3,3.7,3.2,1.5,3,1.4,3.5,1.1,2.4
US,2024,5,Annual,36,"NHOPI, NH",45.6,0.2,13.6,0.2,3.2,0.3,9999,0.1,3.1,0.3,9999,0.1,1.7,0.4,9999,0.2
US,2024,5,Annual,36,"White, NH",68.7,58.5,22,58.3,3.8,60.4,2,48.8,3.2,52.7,1,38.8,1.3,64.8,1.8,74.3
US,2024,6,Annual,37,"AIAN, NH",90.8,1.2,33.4,1.4,10,2.5,0.9,0.4,6.1,1.4,1,0.5,4.2,2.8,0.9,0.5
US,2024,6,Annual,37,"Asian, NH",40.4,1,6.2,0.5,1.2,0.6,0.3,0.2,1.7,0.8,0.6,0.6,0.6,0.8,0.7,0.8
US,2024,6,Annual,37,"Black, NH",58.5,17.9,19.7,19.8,2.3,13.9,3.2,31.8,3.8,21.3,2.5,32.2,0.7,11.8,0.6,8.1
US,2024,6,Annual,37,Hispanic,48.8,13.5,13,11.8,2.5,13.4,1.1,10,3.4,17.2,1.8,21.1,0.9,13.6,1,12.8
US,2024,6,Annual,37,Missing,65.3,6.8,17.5,6,3.3,6.7,1.8,6.1,3.6,6.9,1.6,7.1,1.2,6.7,1.1,5.3
US,2024,6,Annual,37,"Multiple/Other, NH",65.5,3.1,19.3,3,3.8,3.5,2,3.1,3.9,3.4,1.7,3.3,1.5,3.6,1.2,2.7
US,2024,6,Annual,37,"NHOPI, NH",43.9,0.2,12.9,0.2,3,0.3,9999,0.1,2.9,0.2,9999,0.1,1.6,0.4,9999,0.1
US,2024,6,Annual,37,"White, NH",66.4,56.4,20.5,57.3,3.6,59.2,1.7,48.3,3.1,48.8,1,35.1,1.4,60.3,1.8,69.6
US,2024,7,Annual,37,"AIAN, NH",88.9,1.1,32.7,1.4,10.1,2.6,0.8,0.3,6.1,1.4,0.9,0.5,4.1,2.8,0.8,0.5
US,2024,7,Annual,37,"Asian, NH",40.5,1,6.1,0.5,1.2,0.6,0.3,0.2,1.8,0.8,0.6,0.7,0.6,0.8,0.7,0.9
US,2024,7,Annual,37,"Black, NH",57.7,17.9,19.4,19.9,2.3,14.1,3.1,32.4,3.8,21.5,2.5,32.6,0.7,11.7,0.6,8.1
US,2024,7,Annual,37,Hispanic,48.1,13.5,12.7,11.8,2.4,13.3,1.1,10,3.3,17.1,1.8,21.1,0.9,13.6,1,12.9
US,2024,7,Annual,37,Missing,64.8,6.7,17.3,6,3.3,6.7,1.8,6.1,3.6,6.8,1.6,7,1.3,6.8,1.1,5.2
US,2024,7,Annual,37,"Multiple/Other, NH",64.6,3.1,19,3,3.7,3.5,2,3.1,3.8,3.4,1.6,3.2,1.4,3.6,1.2,2.7
US,2024,7,Annual,37,"NHOPI, NH",43.2,0.2,12.7,0.2,2.9,0.3,9999,0.1,2.8,0.2,9999,0.1,1.5,0.4,9999,0.1
US,2024,7,Annual,37,"White, NH",65.3,56.3,20,57.1,3.5,58.9,1.7,47.7,3.1,48.7,1,34.9,1.3,60.4,1.7,69.6
US,2024,8,Annual,38,"AIAN, NH",86.5,1.2,31.1,1.4,9.4,2.5,0.8,0.4,5.7,1.4,1,0.5,3.7,2.6,0.8,0.5
US,2024,8,Annual,38,"Asian, NH",40,1,6,0.5,1.2,0.6,0.2,0.2,1.7,0.8,0.6,0.6,0.6,0.8,0.7,0.8
US,2024,8,Annual,38,"Black, NH",56.8,18,18.7,19.9,2.3,14.3,2.9,32.6,3.7,21.8,2.5,32.8,0.7,11.7,0.5,8
US,2024,8,Annual,38,Hispanic,47.7,13.2,12.3,11.4,2.4,13,1,9.9,3.3,16.8,1.8,20.3,0.9,13.4,1,12.4
US,2024,8,Annual,38,Missing,64.1,7,16.8,6.2,3.2,6.8,1.5,6,3.6,7.2,1.7,7.6,1.2,6.8,1,5.3
US,2024,8,Annual,38,"Multiple/Other, NH",64.3,3.1,18.5,3,3.7,3.5,1.8,3.2,3.7,3.2,1.5,3,1.4,3.5,1.2,2.7
US,2024,8,Annual,38,"NHOPI, NH",41.9,0.2,12.3,0.2,2.9,0.3,9999,0.1,2.7,0.2,9999,0.1,1.4,0.3,9999,0.1
US,2024,8,Annual,38,"White, NH",64.8,56.4,19.7,57.5,3.4,59.1,1.5,47.7,3,48.6,1,35,1.3,60.7,1.7,70.1
US,2024,9,Annual,39,"AIAN, NH",85.4,1.2,30.4,1.4,9.2,2.5,0.8,0.4,5.7,1.4,1,0.6,3.7,2.6,0.8,0.5
US,2024,9,Annual,39,"Asian, NH",39.9,1,6,0.5,1.2,0.6,0.3,0.2,1.7,0.8,0.6,0.6,0.6,0.8,0.7,0.8
US,2024,9,Annual,39,"Black, NH",56.2,18,18.3,19.9,2.2,14.2,2.8,32.9,3.7,21.9,2.5,33,0.7,11.8,0.5,8.1
US,2024,9,Annual,39,Hispanic,47.1,13.2,11.9,11.4,2.3,13,0.9,9.9,3.3,16.9,1.8,20.5,0.9,13.5,0.9,12.5
US,2024,9,Annual,39,Missing,63.2,7,16.4,6.1,3.1,6.8,1.4,5.8,3.5,7.1,1.7,7.5,1.2,6.8,1,5.4
US,2024,9,Annual,39,"Multiple/Other, NH",64.1,3.1,18.1,3,3.6,3.5,1.7,3.1,3.6,3.2,1.5,3,1.4,3.5,1.2,2.8
US,2024,9,Annual,39,"NHOPI, NH",42.2,0.2,12.1,0.2,2.9,0.3,9999,0.1,2.5,0.2,9999,0.1,1.4,0.3,9999,0.1
US,2024,9,Annual,39,"White, NH",63.7,56.3,19.2,57.5,3.3,59.1,1.4,47.5,3,48.3,1,34.8,1.3,60.6,1.7,69.8
US,2024,10,Annual,38,"AIAN, NH",82.8,1.1,29.6,1.3,8.8,2.3,0.8,0.4,4.5,1.1,1,0.6,2.6,1.8,0.8,0.5
US,2024,10,Annual,38,"Asian, NH",39,1,5.8,0.5,1.1,0.6,0.2,0.2,1.6,0.8,0.5,0.6,0.5,0.8,0.7,0.8
US,2024,10,Annual,38,"Black, NH",55.6,18.1,17.9,20,2.2,14.4,2.7,33.4,3.7,22.1,2.5,32.9,0.7,12.2,0.5,8.3
US,2024,10,Annual,38,Hispanic,46.4,13.3,11.6,11.4,2.2,13,0.9,9.9,3.2,17,1.7,20.4,0.9,13.7,0.9,12.7
US,2024,10,Annual,38,Missing,62.7,7,16.1,6.1,3,6.8,1.4,5.8,3.4,7.1,1.6,7.5,1.2,6.8,1.1,5.5
US,2024,10,Annual,38,"Multiple/Other, NH",63.5,3.1,17.8,3,3.5,3.5,1.7,3.2,3.6,3.2,1.5,3,1.4,3.5,1.2,2.8
US,2024,10,Annual,38,"NHOPI, NH",41.1,0.2,11.5,0.2,2.8,0.3,9999,0,2.6,0.2,9999,0.1,1.5,0.4,9999,0.1
US,2024,10,Annual,38,"White, NH",62.9,56.2,18.7,57.5,3.2,59,1.4,47,2.9,48.5,1,35,1.3,60.9,1.7,69.4
US,2024,11,Annual,39,"AIAN, NH",82.4,1,29.5,1.3,8.8,2.3,0.7,0.4,4.4,1.1,1,0.5,2.5,1.7,0.9,0.5
US,2024,11,Annual,39,"Asian, NH",38,1,5.6,0.5,1.1,0.6,0.2,0.2,1.5,0.7,0.5,0.6,0.5,0.7,0.6,0.8
US,2024,11,Annual,39,"Black, NH",54.8,18.1,17.1,19.8,2.1,14.4,2.5,32.9,3.5,22,2.4,32.7,0.7,12,0.5,8.3
US,2024,11,Annual,39,Hispanic,46,13,11.3,11.2,2.1,12.7,0.9,9.7,3.2,16.8,1.7,20.3,0.9,13.4,0.9,12.5
US,2024,11,Annual,39,Missing,61.7,7,15.2,6.1,2.8,6.7,1.3,5.7,3.3,7.1,1.5,7.3,1.1,6.8,1,5.7
US,2024,11,Annual,39,"Multiple/Other, NH",63.3,3.1,17.5,3,3.4,3.5,1.7,3.2,3.4,3.2,1.4,2.9,1.3,3.6,1.2,2.8
US,2024,11,Annual,39,"NHOPI, NH",40.4,0.2,11,0.2,2.7,0.3,9999,0,2.4,0.2,9999,0.1,1.3,0.3,9999,0.1
US,2024,11,Annual,39,"White, NH",61.6,56.5,18,57.9,3.1,59.5,1.3,48,2.8,48.9,0.9,35.6,1.2,61.4,1.6,69.3
US,2024,12,Annual,39,"AIAN, NH",81.4,1.1,28.9,1.3,8.6,2.3,0.7,0.4,4.3,1,0.9,0.5,2.5,1.8,0.9,0.5
US,2024,12,Annual,39,"Asian, NH",37.9,1,5.4,0.5,1.1,0.6,0.2,0.2,1.5,0.8,0.6,0.6,0.5,0.7,0.6,0.8
US,2024,12,Annual,39,"Black, NH",54.3,18.1,16.7,19.8,2,14.2,2.5,33.4,3.5,21.9,2.3,32.6,0.7,12.1,0.5,8.3
US,2024,12,Annual,39,Hispanic,45.6,13,11.1,11.2,2.1,12.7,0.8,9.6,3.1,16.8,1.7,20.3,0.9,13.4,0.9,12.6
US,2024,12,Annual,39,Missing,61.5,7,15.1,6.1,2.8,6.7,1.2,5.7,3.3,7,1.5,7.3,1.1,6.8,1,5.8
US,2024,12,Annual,39,"Multiple/Other, NH",63.1,3.1,17.3,3,3.4,3.5,1.6,3.2,3.4,3.2,1.4,2.9,1.4,3.6,1.2,2.8
US,2024,12,Annual,39,"NHOPI, NH",39.8,0.2,10.7,0.2,2.6,0.3,9999,0,2.4,0.2,9999,0.1,1.4,0.4,9999,0.1
